composante_scolaire;quadrant;domaine_sensoriel;question_id;label;pour_calcul
1;EV;Traitement de l'information AUDITIVE;1;réagit vivement au bruit inattendu ou fort. (par exemple sirène, chien qui aboie sèche cheveux).;oui
1;EV;Traitement de l'information AUDITIVE;2;se couvre les oreilles des mains pour se protéger du bruit.;oui
1;SE;Traitement de l'information AUDITIVE;3;éprouve des difficultés à accomplir ou terminer des tâches lorsqu'il y a de la musique ou que la télévision est allumée.;oui
1;SE;Traitement de l'information AUDITIVE;4;est distrait·e dans un environnement bruyant.;oui
1;EV;Traitement de l'information AUDITIVE;5;ne peut pas réaliser des tâches lorsqu'il a un bruit de fond. (par exemple ventilateur réfrigérateur).;oui
1;SE;Traitement de l'information AUDITIVE;6;fais la sourde oreille ou semble m'ignorer.;oui
1;SE;Traitement de l'information AUDITIVE;7;semble ne pas entendre lorsque je l'appelle par son prénom. (alors que son audition est bonne).;oui
1;EN;Traitement de l'information AUDITIVE;8;aime les bruits étranges ou fait du(des) bruit(s) par plaisir.;oui
1;SE;Traitement de l'information VISUELLE;9;préfère jouer ou travailler dans des conditions de faible luminosité.;oui
1;NA;Traitement de l'information VISUELLE;10;préfère les vêtements aux couleurs et aux motifs vifs.;oui
1;NA;Traitement de l'information VISUELLE;11;aime regarder les détails visuels des objets.;oui
1;EN;Traitement de l'information VISUELLE;12;a besoin d'aide pour trouver des objets qui sont facilement repérables par les autres.;oui
1;SE;Traitement de l'information VISUELLE;13;est davantage incommodé·e par des lumières vives que les enfants de son âge.;oui
1;RE;Traitement de l'information VISUELLE;14;regarde les gens qui se déplacent dans la pièce.;oui
1;EV;Traitement de l'information VISUELLE;15;est gêné par les lumières vives (par exemple, se cache de la lumière du soleil qui passe par la fenêtre de la voiture).;non
1;SE;Traitement de l'information TACTILE;16;montre des signes d'anxiété et/ou de détresse lors de la toilette ou des soins du corps qui lui sont dispensés (par exemple, se débat ou pleure lorsqu'on lui coupe les cheveux ou les ongles ou qu'on lui lave le visage).;oui
1;NA;Traitement de l'information TACTILE;17;devient agacé·e ou contrarié·e par les chaussures ou les chaussettes qu'il/elle porte.;oui
1;EV;Traitement de l'information TACTILE;18;réagit avec émotion ou agressivité lorsqu'on le/la touche.;oui
1;SE;Traitement de l'information TACTILE;19;devient anxieux·se lorsqu'il/elle se trouve proche des autres (par exemple, dans une file d’attente).;oui
1;SE;Traitement de l'information TACTILE;20;frotte ou gratte une partie de son corps qui vient d'être touchée.;oui
1;RE;Traitement de l'information TACTILE;21;touche les personnes ou les objets au point d'agacer les autres.;oui
1;RE;Traitement de l'information TACTILE;22;manifeste un besoin de toucher des jouets, des surfaces ou des textures (par exemple, veut ressentir les sensations tactiles provoquées par tout ce qui l'entoure, veut toucher à tout).;oui
1;EN;Traitement de l'information TACTILE;23;semble peu ou pas conscient·e de la douleur.;oui
1;EN;Traitement de l'information TACTILE;24;semble peu ou pas conscient·e des changements de température.;oui
1;RE;Traitement de l'information TACTILE;25;touche les objet et les personnes et les objets plus fréquemment que es enfants de son âge.;oui
1;EN;Traitement de l'information TACTILE;26;semble ne pas remarquer que son visage ou ses mains sont sales.;oui
1;RE;Traitement de l'information relative au MOUVEMENT;27;recherche le mouvement au point que cela perturbe les activités quotidiennes (par exemple ne peut pas rester assis·e·, gigote).;oui
1;RE;Traitement de l'information relative au MOUVEMENT;28;se balance sur sa chaise, au sol ou debout.;oui
1;NA;Traitement de l'information relative au MOUVEMENT;29;hésite à monter ou descendre d'un trottoir ou les marches d'un escalier (par exemple, est prudent·e, s'arrête avant de se déplacer).;oui
1;RE;Traitement de l'information relative au MOUVEMENT;30;devient tout excité·e et très actif·ve au cours de tâches impliquant des mouvements.;oui
1;RE;Traitement de l'information relative au MOUVEMENT;31;se met en danger ou prend des risques en bougeant ou en grimpant.;oui
1;RE;Traitement de l'information relative au MOUVEMENT;32;recherche des occasions de tomber, sans prêter attention à se propre sécurité (par exemple, tombe intentionnellement).;oui
1;EN;Traitement de l'information relative au MOUVEMENT;33;perd l'équilibre de manière inattendue ou soudaine en marchant sur une surface irrégulière.;oui
1;EN;Traitement de l'information relative au MOUVEMENT;34;se cogne aux choses ou aux gens, ne remarque pas ce qui se trouve sur son chemin.;oui
1;EN;Traitement de l'information relative à la POSITION DU CORPS;35;bouge avec raideur.;oui
1;EN;Traitement de l'information relative à la POSITION DU CORPS;36;se fatigue facilement, surtout lorsqu'il·elle est debout ou lorsqu'il·elle reste dans la même position.;oui
1;EN;Traitement de l'information relative à la POSITION DU CORPS;37;semble avoir une faiblesse musculaire.;oui
1;EN;Traitement de l'information relative à la POSITION DU CORPS;38;prend appui ou cherche des supports pour se tenir (par exemple, se tient la tête avec les mains, s'appuie contre un mur).;oui
1;EN;Traitement de l'information relative à la POSITION DU CORPS;39;s'agrippe davantage aux objets, aux murs ou aux rampes que les enfants de son âge.;oui
1;EN;Traitement de l'information relative à la POSITION DU CORPS;40;marche lourdement comme si ses pieds étaient pesants.;oui
1;RE;Traitement de l'information relative à la POSITION DU CORPS;41;se couche sur les meubles ou sur les personnes comme si il/elle s'affalait dessus ou les enveloppait.;oui
1;NA;Traitement de l'information relative à la POSITION DU CORPS;42;a besoin de couvertures lourdes/épaisses pour dormir.;oui
1;NA;Traitement de l'information SENSORIELLE ORALE;43;a facilement des haut-le-cœur avec certaines textures d'aliments ou avec certains couverts dans la bouche.;oui
1;SE;Traitement de l'information SENSORIELLE ORALE;44;rejette ou évite certains goûts et odeurs de nourriture qui font partie de l'alimentation habituelle d'un enfant.;oui
1;SE;Traitement de l'information SENSORIELLE ORALE;45;ne mange que des aliments d'un certain goût (par exemple, sucré, salé).;oui
1;SE;Traitement de l'information SENSORIELLE ORALE;46;se limite à certaines textures d'aliments.;oui
1;SE;Traitement de l'information SENSORIELLE ORALE;47;est un·e mangeu·euse sélectif·ive, particulièrement en ce qui concerne la texture des aliments.;oui
1;RE;Traitement de l'information SENSORIELLE ORALE;48;sent ou renifle des objets non comestibles.;oui
1;RE;Traitement de l'information SENSORIELLE ORALE;49;manifeste une préférence très marquée pour certains goûts.;oui
1;RE;Traitement de l'information SENSORIELLE ORALE;50;est avide de certains aliments, goûts ou odeurs.;oui
1;RE;Traitement de l'information SENSORIELLE ORALE;51;porte ses mains ou des objets à la bouche (par exemple, des crayons).;oui
1;SE;Traitement de l'information SENSORIELLE ORALE;52;se mord davantage la langue ou les lèvres que les enfants de son âge.;oui
1;EN;CONDUITES relatives au traitement de l'information sensorielle;53;semble sujet aux accidents.;oui
1;EN;CONDUITES relatives au traitement de l'information sensorielle;54;colorie, écrit ou dessine avec précipitation ou sans application.;oui
1;RE;CONDUITES relatives au traitement de l'information sensorielle;55;prend des risques excessifs (par exemple, grimpe haut dans un arbre, saute d'un meuble haut), compromettant sa propre sécurité.;oui
1;RE;CONDUITES relatives au traitement de l'information sensorielle;56;semble plus actif·ve que autres enfants de son âge.;oui
1;EN;CONDUITES relatives au traitement de l'information sensorielle;57;réalise des tâches de manière plus compliquée que nécessaire (par exemple perd du temps, se déplace lentement).;oui
1;EV;CONDUITES relatives au traitement de l'information sensorielle;58;peut être tétu·e et peu coopératif·ve.;oui
1;EV;CONDUITES relatives au traitement de l'information sensorielle;59;fait des crises de colère.;oui
1;RE;CONDUITES relatives au traitement de l'information sensorielle;60;semble prendre plaisir à tomber.;oui
1;EV;CONDUITES relatives au traitement de l'information sensorielle;61;évite le contact visuel avec moi ou avec d’autres personnes.;oui
1;EN;Réponses SOCIO-EMOTIONNELLE relatives au traitement de l'information sensorielle;62;semble avoir une faible estime de soi (par exemple, difficulté à s’aimer).;oui
1;EV;Réponses SOCIO-EMOTIONNELLE relatives au traitement de l'information sensorielle;63;à besoin d'encouragements dans une situation exigeante ou pour reprendre une tâche difficile.;oui
1;EV;Réponses SOCIO-EMOTIONNELLE relatives au traitement de l'information sensorielle;64;est sensible aux critique&.;oui
1;EV;Réponses SOCIO-EMOTIONNELLE relatives au traitement de l'information sensorielle;65;a es peurs prévisibles et claquement identifiées.;oui
1;EV;Réponses SOCIO-EMOTIONNELLE relatives au traitement de l'information sensorielle;66;dit qu'il/elle se sent nul·le.;oui
1;EV;Réponses SOCIO-EMOTIONNELLE relatives au traitement de l'information sensorielle;67;est trop sérieux·se.;oui
1;EV;Réponses SOCIO-EMOTIONNELLE relatives au traitement de l'information sensorielle;68;a des réactions émotionnelles violentes quand il/elle n'arrive pas à l'accomplir ou à terminer une tâche.;oui
1;SE;Réponses SOCIO-EMOTIONNELLE relatives au traitement de l'information sensorielle;69;a des difficultés à interpréter le langage corporel ou les expressions faciales.;oui
1;EV;Réponses SOCIO-EMOTIONNELLE relatives au traitement de l'information sensorielle;70;est facilement frustré·e.;oui
1;EV;Réponses SOCIO-EMOTIONNELLE relatives au traitement de l'information sensorielle;71;a des peurs qui perturbent les routines quotidiennes.;oui
1;EV;Réponses SOCIO-EMOTIONNELLE relatives au traitement de l'information sensorielle;72;montre des signes d'anxiété et/ou de détresse lors de changements de plans et de routines ou lors des modifications survenues par rapport à ses attentes.;oui
1;SE;Réponses SOCIO-EMOTIONNELLE relatives au traitement de l'information sensorielle;73;a un besoin de protection plus important que les enfants de son âge (pare exemple, est sans défense sur le plan physique ou fonctionnel).;oui
1;EV;Réponses SOCIO-EMOTIONNELLE relatives au traitement de l'information sensorielle;74;interagit ou participe moins au sein d'un groupe que les autres enfants de son âge.;oui
1;EV;Réponses ATTENTIONNELLE relatives au traitement de l'information sensorielle;75;éprouve des difficultés avec les relations amicales (par exemple à du mal à se faire des ami·e·s ou à les garder).;oui
1;EN;Réponses ATTENTIONNELLE relatives au traitement de l'information sensorielle;76;manque les occasions de contact visuel avec moi au cours des interactions de tous les jours.;oui
1;SE;Réponses ATTENTIONNELLE relatives au traitement de l'information sensorielle;77;a des difficultés à être attentif·ve.;oui
1;SE;Réponses ATTENTIONNELLE relatives au traitement de l'information sensorielle;78;détourne le regard de ses tâches pour observer tout ce qui se passe dans la pièce.;oui
1;EN;Réponses ATTENTIONNELLE relatives au traitement de l'information sensorielle;79;semble ne pas être conscient·e de ce qui se passe dans un environnement actif (par exemple, semble ne pas remarquer qu'il y a eu de l'activité).;oui
1;EN;Réponses ATTENTIONNELLE relatives au traitement de l'information sensorielle;80;fixe intensément les objets.;oui
1;EV;Réponses ATTENTIONNELLE relatives au traitement de l'information sensorielle;81;fixe intensément les gens.;oui
1;RE;Réponses ATTENTIONNELLE relatives au traitement de l'information sensorielle;82;regarde chaque personne qui se déplace dans la pièce.;oui
1;RE;Réponses ATTENTIONNELLE relatives au traitement de l'information sensorielle;83;passe d'une chose à une autre, ce qui perturbe ses activités.;oui
1;SE;Réponses ATTENTIONNELLE relatives au traitement de l'information sensorielle;84;se perd facilement.;oui
1;EN;Réponses ATTENTIONNELLE relatives au traitement de l'information sensorielle;85;éprouve des difficultés à trouver des objets dans un endroit encombré (par exemple, des chaussures dans une chambre en désordre, un crayon dans un tiroir de « bric-à-brac »).;oui
1;EN;Réponses ATTENTIONNELLE relatives au traitement de l'information sensorielle;86;semble ne pas remarquer des personnes qui entrent dans la pièce.;non
